year,month,offense,age,age_group,sex,race,weapon
2021,Nov,Aggravated Assault,45,40-49,Male,White,Unarmed
2021,Dec,Rape,25,25-29,Male,White,Unarmed
2021,Nov,Aggravated Assault,45,40-49,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,34,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,61,50 or above,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,55,50 or above,Male,Black or African American,Unarmed
2021,Nov,Robbery,37,30-39,Female,Black or African American,Unarmed
2021,Nov,Robbery,37,30-39,Female,Black or African American,Unarmed
2021,Nov,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,51,50 or above,Male,Black or African American,Unarmed
2021,Dec,Aggravated Assault,36,30-39,Male,White,Unarmed
2021,Dec,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Dec,Aggravated Assault,34,30-39,Male,White,Unarmed
2021,Dec,Aggravated Assault,69,50 or above,Male,White,Unarmed
2021,Dec,Aggravated Assault,28,25-29,Male,Black or African American,Unarmed
2022,Jan,Robbery,28,25-29,Male,Black or African American,Unarmed
2022,Jan,Aggravated Assault,25,25-29,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,41,40-49,Female,White,Unarmed
2021,Jan,Aggravated Assault,34,30-39,Female,Black or African American,Other weapon
2021,Mar,Robbery,53,50 or above,Female,White,Unarmed
2021,Jan,Aggravated Assault,79,50 or above,Male,White,Unarmed
2021,Jan,Robbery,21,20-24,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,62,50 or above,Female,Black or African American,Other weapon
2021,Jul,Aggravated Assault,28,25-29,Male,Black or African American,Other weapon
2021,Aug,Aggravated Assault,28,25-29,Male,White,Unarmed
2021,Oct,Aggravated Assault,83,50 or above,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,38,30-39,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,40,40-49,Male,Black or African American,Other weapon
2021,Mar,Aggravated Assault,33,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,21,20-24,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,37,30-39,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,26,25-29,Male,White,Unarmed
2021,Nov,Aggravated Assault,27,25-29,Female,White,Unarmed
2021,Apr,Aggravated Assault,29,25-29,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,49,40-49,Male,White,Unarmed
2021,Apr,Aggravated Assault,24,20-24,Male,White,Unarmed
2021,May,Aggravated Assault,62,50 or above,Male,White,Unarmed
2021,Jan,Rape,43,40-49,Male,White,Unarmed
2021,Jan,Aggravated Assault,37,30-39,Female,White,Unarmed
2021,Jun,Aggravated Assault,46,40-49,Female,Black or African American,Unarmed
2021,Jun,Aggravated Assault,52,50 or above,Male,White,Unarmed
2021,Jun,Aggravated Assault,24,20-24,Female,White,Unarmed
2021,Mar,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Jun,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,29,25-29,Female,Black or African American,Unarmed
2021,Jul,Aggravated Assault,27,25-29,Female,Black or African American,Unarmed
2021,Jul,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,28,25-29,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,25,25-29,Female,Black or African American,Unarmed
2021,Aug,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,61,50 or above,Female,Black or African American,Unarmed
2021,Sep,Aggravated Assault,46,40-49,Female,White,Unarmed
2021,May,Aggravated Assault,30,30-39,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,21,20-24,Male,White,Unarmed
2021,Sep,Aggravated Assault,23,20-24,Male,White,Unarmed
2021,Jun,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,21,20-24,Male,White,Unarmed
2021,Oct,Aggravated Assault,36,30-39,Female,Black or African American,Unarmed
2021,Oct,Aggravated Assault,18,Under 20,Female,Black or African American,Unarmed
2021,Oct,Aggravated Assault,64,50 or above,Male,White,Unarmed
2021,Oct,Aggravated Assault,48,40-49,Male,White,Unarmed
2021,Jun,Aggravated Assault,40,40-49,Male,Black or African American,Unarmed
2021,Jun,Aggravated Assault,31,30-39,Male,White,Other weapon
2021,Oct,Aggravated Assault,30,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,63,50 or above,Male,Black or African American,Unarmed
2022,Jan,Aggravated Assault,38,30-39,Male,White,Unarmed
2021,Dec,Aggravated Assault,33,30-39,Female,White,Unarmed
2021,Dec,Aggravated Assault,29,25-29,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,30,30-39,Male,White,Other weapon
2022,Jan,Aggravated Assault,34,30-39,Male,Black or African American,Unarmed
2021,Dec,Aggravated Assault,22,20-24,Male,White,Unarmed
2021,Dec,Aggravated Assault,22,20-24,Male,White,Unarmed
2021,Dec,Aggravated Assault,22,20-24,Male,White,Unarmed
2021,Aug,Aggravated Assault,32,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,29,25-29,Male,Black or African American,Unarmed
