year,month,offense,age,age_group,sex,race,weapon
2021,Dec,Aggravated Assault,45,40-49,Male,White,Unarmed
2021,Jan,Aggravated Assault,38,30-39,Male,Black or African American,Firearm-related
2021,Feb,Robbery,34,30-39,Male,Black or African American,Other weapon
2021,Jun,Aggravated Assault,35,30-39,Male,Black or African American,Unarmed
2021,Jan,Robbery,23,20-24,Female,White,Unarmed
2021,Oct,Aggravated Assault,29,25-29,Female,Black or African American,Other weapon
2021,Jan,Aggravated Assault,51,50 or above,Female,White,Unarmed
2021,May,Aggravated Assault,24,20-24,Male,Black or African American,Firearm-related
2021,Oct,Aggravated Assault,39,30-39,Male,Black or African American,Unarmed
2021,Sep,Robbery,29,25-29,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Mar,Robbery,24,20-24,Male,Black or African American,Unarmed
2021,Mar,Aggravated Assault,30,30-39,Male,Black or African American,Firearm-related
2021,Jun,Aggravated Assault,33,30-39,Male,White,Unarmed
2021,Feb,Aggravated Assault,45,40-49,Female,White,Unarmed
2021,Aug,Aggravated Assault,28,25-29,Female,White,Unarmed
2021,Aug,Aggravated Assault,42,40-49,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,22,20-24,Female,White,Other weapon
2021,Nov,Robbery,44,40-49,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,56,50 or above,Male,Black or African American,Other weapon
2021,Aug,Aggravated Assault,35,30-39,Male,Black or African American,Unarmed
2021,May,Robbery,25,25-29,Male,Black or African American,Unarmed
2021,Aug,Rape,40,40-49,Male,White,Unarmed
2021,Feb,Aggravated Assault,38,30-39,Male,White,Other weapon
2021,Jun,Aggravated Assault,23,20-24,Female,Black or African American,Other weapon
2021,Mar,Aggravated Assault,37,30-39,Female,White,Other weapon
2021,Aug,Aggravated Assault,24,20-24,Male,Black or African American,Other weapon
2021,Jul,Aggravated Assault,36,30-39,Female,Black or African American,Unarmed
2021,Jun,Aggravated Assault,42,40-49,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,39,30-39,Female,Black or African American,Other weapon
2021,Jun,Aggravated Assault,48,40-49,Female,Black or African American,Unarmed
2021,Apr,Aggravated Assault,61,50 or above,Male,White,Unarmed
2021,Jan,Aggravated Assault,57,50 or above,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,21,20-24,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,61,50 or above,Male,Black or African American,Other weapon
2021,May,Aggravated Assault,37,30-39,Male,Black or African American,Other weapon
2021,Oct,Aggravated Assault,49,40-49,Male,White,Other weapon
2021,Feb,Aggravated Assault,28,25-29,Male,White,Firearm-related
2021,Dec,Aggravated Assault,47,40-49,Female,Black or African American,Unarmed
2021,Jul,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Aug,Aggravated Assault,36,30-39,Female,White,Unarmed
2021,Jul,Aggravated Assault,30,30-39,Male,White,Unarmed
2021,Dec,Rape,30,30-39,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,35,30-39,Male,White,Unarmed
2021,Jun,Aggravated Assault,32,30-39,Female,Black or African American,Other weapon
2021,Aug,Robbery,40,40-49,Male,Black or African American,Unarmed
2021,Mar,Robbery,27,25-29,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,20,20-24,Female,Black or African American,Other weapon
2021,Oct,Robbery,20,20-24,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,32,30-39,Male,Black or African American,Firearm-related
2021,Jun,Aggravated Assault,36,30-39,Male,White,Unarmed
2021,Feb,Aggravated Assault,28,25-29,Female,White,Other weapon
2021,Jul,Aggravated Assault,20,20-24,Female,White,Other weapon
2021,Mar,Aggravated Assault,43,40-49,Female,Black or African American,Unarmed
2021,Nov,Robbery,45,40-49,Male,White,Unarmed
2021,Aug,Aggravated Assault,30,30-39,Male,White,Unarmed
2021,Jul,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Mar,Aggravated Assault,27,25-29,Male,White,Unarmed
2021,May,Robbery,16,Under 20,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,33,30-39,Female,White,Unarmed
2021,Apr,Aggravated Assault,24,20-24,Female,White,Other weapon
2021,Jun,Aggravated Assault,33,30-39,Female,White,Unarmed
2021,Jun,Aggravated Assault,46,40-49,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,39,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,33,30-39,Female,Black or African American,Unarmed
2021,Oct,Aggravated Assault,32,30-39,Male,White,Unarmed
2021,Jun,Aggravated Assault,61,50 or above,Male,White,Unarmed
2021,Aug,Aggravated Assault,69,50 or above,Male,White,Firearm-related
2021,Oct,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Jul,Robbery,48,40-49,Male,Black or African American,Other weapon
2021,Nov,Aggravated Assault,22,20-24,Male,White,Firearm-related
2021,Jul,Aggravated Assault,41,40-49,Male,Black or African American,Other weapon
2021,Mar,Robbery,39,30-39,Male,White,Unarmed
2021,Sep,Aggravated Assault,29,25-29,Male,Black or African American,Firearm-related
2021,Dec,Rape,46,40-49,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,24,20-24,Male,Black or African American,Unarmed
2021,Sep,Aggravated Assault,41,40-49,Male,White,Unarmed
2021,Dec,Aggravated Assault,59,50 or above,Male,White,Unarmed
2021,Oct,Aggravated Assault,57,50 or above,Male,White,Unarmed
2021,Nov,Aggravated Assault,38,30-39,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,28,25-29,Male,Black or African American,Unarmed
2021,Apr,Aggravated Assault,43,40-49,Female,White,Unarmed
2021,Jun,Aggravated Assault,37,30-39,Male,Black or African American,Other weapon
2021,Apr,Aggravated Assault,44,40-49,Male,White,Unarmed
2021,Oct,Aggravated Assault,24,20-24,Female,White,Other weapon
2021,Jun,Aggravated Assault,42,40-49,Male,White,Unarmed
2021,Aug,Aggravated Assault,53,50 or above,Male,White,Unarmed
2021,Oct,Robbery,38,30-39,Male,Black or African American,Unarmed
2021,Jan,Robbery,28,25-29,Male,Black or African American,Unarmed
2021,Jan,Aggravated Assault,45,40-49,Male,White,Firearm-related
2021,May,Aggravated Assault,20,20-24,Male,Black or African American,Unarmed
2021,Jul,Aggravated Assault,28,25-29,Male,Black or African American,Other weapon
2021,Jun,Aggravated Assault,32,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,46,40-49,Male,Black or African American,Unarmed
2021,Jun,Aggravated Assault,22,20-24,Female,Black or African American,Unarmed
2021,Aug,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,25,25-29,Male,White,Unarmed
2021,Mar,Aggravated Assault,20,20-24,Female,White,Unarmed
2021,Jul,Aggravated Assault,22,20-24,Female,White,Other weapon
2021,Jun,Aggravated Assault,17,Under 20,Male,White,Other weapon
2021,Sep,Aggravated Assault,19,Under 20,Male,White,Unarmed
2021,Oct,Aggravated Assault,22,20-24,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,37,30-39,Male,White,Unarmed
2021,Jul,Aggravated Assault,47,40-49,Male,White,Unarmed
2021,Dec,Aggravated Assault,20,20-24,Female,Black or African American,Other weapon
2021,Jan,Aggravated Assault,36,30-39,Female,White,Other weapon
2021,Aug,Robbery,35,30-39,Male,Black or African American,Firearm-related
2021,Oct,Robbery,18,Under 20,Male,White,Unarmed
2021,May,Aggravated Assault,21,20-24,Female,White,Unarmed
2021,Apr,Aggravated Assault,44,40-49,Female,Black or African American,Firearm-related
2021,Mar,Aggravated Assault,31,30-39,Male,White,Unarmed
2021,Mar,Aggravated Assault,31,30-39,Male,Black or African American,Unarmed
2021,Nov,Aggravated Assault,22,20-24,Female,Black or African American,Other weapon
2021,Jan,Aggravated Assault,33,30-39,Male,White,Other weapon
2021,Apr,Aggravated Assault,22,20-24,Male,Black or African American,Unarmed
2021,May,Aggravated Assault,22,20-24,Male,Black or African American,Unarmed
2021,Jul,Rape,30,30-39,Male,White,Unarmed
2021,Feb,Aggravated Assault,67,50 or above,Male,White,Firearm-related
2021,May,Aggravated Assault,23,20-24,Male,White,Other weapon
2021,Jan,Rape,21,20-24,Male,White,Unarmed
2021,Jan,Murder and Nonnegligent Manslaughter,64,50 or above,Male,White,Firearm-related
2021,Aug,Aggravated Assault,36,30-39,Female,Black or African American,Unarmed
2021,Dec,Aggravated Assault,44,40-49,Male,Black or African American,Unarmed
2021,Dec,Aggravated Assault,55,50 or above,Male,White,Other weapon
2021,Nov,Aggravated Assault,58,50 or above,Male,Black or African American,Unarmed
2021,Aug,Robbery,42,40-49,Male,Black or African American,Unarmed
2021,Dec,Aggravated Assault,23,20-24,Male,White,Unarmed
2021,Dec,Murder and Nonnegligent Manslaughter,36,30-39,Male,White,Unarmed
2021,May,Robbery,44,40-49,Male,White,Unarmed
2021,Jun,Robbery,17,Under 20,Male,Black or African American,Unarmed
2021,Feb,Robbery,55,50 or above,Male,White,Unarmed
2021,Jul,Aggravated Assault,52,50 or above,Male,White,Unarmed
2021,Sep,Aggravated Assault,41,40-49,Male,Black or African American,Unarmed
2021,Oct,Robbery,35,30-39,Male,White,Unarmed
2021,Apr,Aggravated Assault,47,40-49,Male,White,Other weapon
2021,May,Aggravated Assault,62,50 or above,Male,White,Unarmed
2021,Apr,Robbery,33,30-39,Male,Black or African American,Unarmed
2021,Aug,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Oct,Robbery,32,30-39,Male,White,Unarmed
2021,Nov,Aggravated Assault,29,25-29,Male,White,Unarmed
2021,Aug,Aggravated Assault,15,Under 20,Female,White,Other weapon
2022,Jan,Aggravated Assault,38,30-39,Female,White,Unarmed
2021,Jan,Robbery,25,25-29,Female,Black or African American,Unarmed
2021,Jul,Aggravated Assault,20,20-24,Male,White,Unarmed
2021,Jul,Robbery,33,30-39,Male,Black or African American,Unarmed
2021,Dec,Aggravated Assault,35,30-39,Male,White,Other weapon
2021,Jan,Aggravated Assault,29,25-29,Female,White,Unarmed
2021,Apr,Aggravated Assault,31,30-39,Male,White,Unarmed
2022,Jan,Aggravated Assault,38,30-39,Male,White,Unarmed
2021,Oct,Aggravated Assault,32,30-39,Male,White,Unarmed
2021,Feb,Aggravated Assault,43,40-49,Female,Black or African American,Unarmed
2021,Jan,Aggravated Assault,38,30-39,Male,White,Other weapon
2021,Jun,Aggravated Assault,21,20-24,Female,White,Other weapon
2021,Oct,Aggravated Assault,17,Under 20,Male,White,Firearm-related
2021,Dec,Aggravated Assault,24,20-24,Male,Black or African American,Firearm-related
2021,Oct,Aggravated Assault,43,40-49,Female,Black or African American,Unarmed
2021,Sep,Aggravated Assault,41,40-49,Male,Black or African American,Other weapon
2021,Feb,Aggravated Assault,25,25-29,Female,Black or African American,Firearm-related
2021,Jun,Aggravated Assault,34,30-39,Male,Black or African American,Other weapon
2021,Oct,Aggravated Assault,26,25-29,Male,White,Unarmed
2021,Mar,Aggravated Assault,20,20-24,Female,Black or African American,Unarmed
2021,Nov,Aggravated Assault,63,50 or above,Male,White,Unarmed
2021,Jan,Aggravated Assault,35,30-39,Male,White,Other weapon
2021,Jun,Robbery,36,30-39,Male,Black or African American,Unarmed
2021,Oct,Aggravated Assault,46,40-49,Male,Black or African American,Firearm-related
2021,May,Aggravated Assault,54,50 or above,Male,White,Unarmed
